customer_id,lifetime_value,total_transactions,total_events
a84515abd71b2102b4fb7e6ac3fd7ef67ce714310cac819d4e11b28bbe4e5ae4,12.860000000000001,124,165
03d0011487606c37c1b1ed147fc72f285a50c05f00b9712e0fc3da400c864296,10.02,152,185
8d2c33a1b060ce16add06f3742447115e5aaea20e847c1752fa2d69a289be4cb,8.39,98,141
be1981ab818cf4ef6765b2ecaea7a2cbf14ccd6e8a7ee985513d9e8e53c6d91b,7.16,146,173
43efe8db05d0bbf1e55a8c955897e547ab1d50220b7763bd40973cd4452f46dc,6.94,149,178
68a642212f9d2ff706f0a30f5c8bbc2b6e580197ea1661115a73e0e7a08ee2b8,6.42,114,158
343c81aa2c8dda28ddf48dd7403643dafa23ccf0622d9f5e036c11df4983fff3,6.16,54,92
a1fa56bd80053997a58d75ac12eb5c3b7e514480c3bb5bdd3ff236ea369d4947,5.95,118,151
7f0ac4394297dc4a885d3b9277ba526cbbfbf7fb7cae465b256ed8e55b864f03,5.94,93,126
191071b0e1f2e94a557f1a0b4cea3de55faf1581b1f46466ffe90664f73ec96e,5.84,77,116
a67267eccb3dc35fa6ceaf412daafff41ca9673291f2c7ba6458257820ee37ac,5.63,79,124
6ad2c5538d44def5d641d52bf37920d403732a3a99b7f88a8fefcfbc6e6aeb73,5.61,140,190
8325de68000837d1d392de3f7361fde6735e9508a6bba1901f0edcb8ef436b16,5.59,111,159
77db96923d20d40532eba0020b55cd91eb51358885c2d698a2805e79481f64a1,5.54,61,96
7aab0e890b728459724d1ac527799930005f1ca347c856912ef65bffac973434,5.54,93,144
621245abb62915117c6af278585e40887c14c9c54ce1d3401b2c85f864c7d231,5.51,40,85
d81c7968507a595ef5f390a06f9a591902c06c7f7b7e0092b01fbff1d45dd330,5.51,127,170
a4cb4c156551b87949c76e654e26d0b9069b20e4ae4683d123f4669067699b47,5.49,78,107
e731b3ecc8619d96058460bcbe2acbb8a95c00951f805ed9c1b398a05dd9c10f,5.44,114,144
b4db5e5259234574edfff958e170fe3a5e13b6f146752ca066abca3c156acc71,5.43,88,125
a8ffab084f69e80328bc22329de53ca6457125e45a9feeec4e00c3521d83998b,5.37,68,104
e0c18188150a1b6cf8b54f407c50a63989d7183d3c2ef8cc86acd4ddde5b06bd,5.28,105,147
84c34f4f564db1f437943c77af41f83bf6fd7c01701cbb050070369176905712,5.21,100,137
6881f635c5be0550646522a81a07d942ee71fcf603397d7908b76b1df2298745,5.07,86,122
8b7d3bea1373b85e44b9f65e7685ebf3ba8614cb3fa441babfa9cae5a152aa33,5.05,78,122
74b7b1d999dbf74aa8c50dc9fb82a1e8a262ffdc039c115944b54d70bc225f7c,5.0200000000000005,69,98
8a708e80759548d2273a53dac7e5e927df67acd0882944ee2813eb9d3ab77101,5.0,60,99
bd02c3234c8be130c79d83db6c1dfc5396e707c68e6a602a0b8327e7dc7119cd,5.0,70,101
6a52f14657a0b487c41f2aabe4e3fe43186f0f055dd9d05928ddd77053553df2,4.94,76,111
e64e2798bc55c242e8fea2dcb72af1684112bf82c473e4c8ddeb62b22ecc54e1,4.930000000000001,79,109
f5ada67c5d803d41ce55782671282764a5dfc113dc5299c348b1f9d93392d1a4,4.86,71,108
42093b7afb2afad8749781dd82bdfa8ed166c60fc13569114895213d89107cc1,4.84,88,128
a496bee7b69f789f7185b2544d946ada1245700b69abbd231e976b80f9d68baf,4.82,103,146
6cc121e5cc202d2bf344ffe795002bdbf87178054bcda2e57161f0ef810a4b55,4.79,74,104
6980555e2eaa19a3f9f8df02e983a8e50abddf6e49cc6310ee45cce60284b62f,4.7700000000000005,79,102
0d8e6c1ea7890ce90968f017361e439f4ea9091de795e9eeac8c5fcb3b92ddc2,4.73,59,92
f4cc6939c97e28f4be2ae7075e50ca214de5bbc5b54b5f903a4f99d13a2bd7df,4.7,69,105
4ee54b1f49d611bd439994603319ba46609e0f65fdebdbbdfc35d3356f710a2f,4.65,74,104
20964f2358008569dfec57b158f5295bc1c927ff2d079a7148c853fb5631c2b4,4.62,67,114
5b6109718ca609ec626669c9599020f5ac552b36f23fcab9b52970cece92b6e1,4.62,109,138
048962db9aca38ca4b98c70880a44b60f12562c8d4df5e34457401c14ec0dcbe,4.55,90,122
c3bbcf0011725dd1012eef2f6f16e28bc3d0eb2b25a4b7c9f4f98cf97821d83d,4.5200000000000005,73,109
17a152d928e2e0cd52db5b0182745712b98270ca9d3861be39c9af33edb6252f,4.48,63,95
8e469168c1e6e1adc89a3d1ccb456ec7449aaf22810c3ef6fe1b09821aac643c,4.46,64,115
d6ca1b7a7b125811ddd5bade1ec3ab33326194afe976c0583fd44ca198007ade,4.43,148,186
5e947a93631fd37115793d96d8f9df13239d6e9232031753cdd954f259b928ea,4.41,98,131
459101c10b852bfd78df0e40bf919c32aee03366071bb3f91e42eaa2f76d21f9,4.4,67,109
a16b4925044df4a1245114f2cd5eb19e2a3cef7fe68337ece398331cebf98bb3,4.4,54,88
3756fa144036bdb03586dff9e4783fdfc17ad5c24897052dda66ac7708a9ff69,4.37,96,151
45fb363d9d46cc64b586fd381c268d142f76aba338b32f77076382c42f7b020e,4.37,76,117
929d07e3cd6060f563829a4ce500e0dbc7f4bbcd8dc942fd12d3c5d323ec285c,4.37,67,106
30d1e9b6378a74a740f64c3d34f1686693d0430b03c6cd602d58062e604373d0,4.32,72,114
6c93490f5ea3f3e572ba60ba67e0ecde04809911a926e81de239e186ea68a4a6,4.32,54,79
4c2ecc15abea73ad7ce4cf6d1634cbca4f6327255ed9d217698fc57d8bb5c3cc,4.29,78,108
c7a9625f7757934cf4f1914116c185641df0f5374a4d9ac485f4a4dbfb70b39c,4.28,56,91
7e7908b295fc9b1ee8ecc7e1e79cee7117bcc65c3e40aef46c7e85bc42212744,4.260000000000001,71,101
3dc948ff4295274054b333b8531ae8b19ebddfd613b61e5d8cd2b261547387bb,4.25,109,147
48f7ce0d2d863986e4f893d55391599b54f0ae86faa739bbef65d9e9dbab2de9,4.25,74,109
8cce95c66051e3472a8f618b17f13bb9cdc9f797fd7851c5c3bc2ed8c1da1a00,4.25,54,91
96d0bb2f832aafc7f7184a9e6040511399ab754860319307800789cb8db93736,4.25,85,126
d3cc9c591adf39a42fe82fe6a16acb52cd5ea0f61bcb5644f1d3a027a5814486,4.25,51,82
c2a5402103ddfc492f9c0446807d375360c87ba06d20efa80d2a66c81b48dc05,4.24,58,98
dd460d8e0b331c1f9e08cd29650042fdefcf9b73a2514019b60422c1cb1c727e,4.23,62,107
94304b03ce46e62b360d7f6921dd7a498f189ee8e5c1cc295242608eaa86f8ab,4.21,70,106
0c44b5697c84f49c39712df9b5452ec131cf6cf4090e3550fd2c1ce613c6f9c9,4.2,64,101
a38261c1584aede7d89d33634cfa9da83c2b7a5662da9a358d42f26b6bac15d7,4.19,90,127
322996c6b5bd2a8f099deb92f36a790afd3315ee0c1d1e5c6d8016d8b8f5486d,4.18,51,83
0c2f282bf27f2eb830258f2541c5c449f0da8b6ee9807c5134ae43e82aeb10d9,4.17,63,92
1a38aa46a24c2e1e894ace043c4066de674fa348c8e72b857fe14c8159d4917c,4.16,75,118
bbd40992beea853fcd044eacf734b3dd98dbbde5b126d211f31b09734d8406d3,4.16,56,93
fd1e309b34da9ecca096acb17a66e910e2a850b8fe760400f16aa9a8d57ebad2,4.16,80,119
25e260e20705dc6401c8216ba20f63d51467092e79a71d80c7ae9aeab19a8a0e,4.140000000000001,93,131
4fc09dcde3a5662cfb6482eba467dbe584806c6e823a8310b66b3a47e0c78e44,4.140000000000001,61,101
44322c3d78cb821cd6001e947df46734adb8f9eca560086f86dab0480536e972,4.13,61,96
6e122bacbb882165bfb46d03e6a9fcc2acaf0a677c75e990447cbc84e02e507e,4.13,76,117
ab67507953401823ad92d4feaf1214d3b28fe8286acadd08d16f0954872e202f,4.11,97,136
48d6428b6d1fe2708980de259b39520bc277495a9ff2c373fce4641d7da9f73a,4.1000000000000005,35,74
c140410d72a41ee5e2e3ba3d7f5a860f337f1b5e41c27cf9bda5517c8774f8fa,4.09,74,106
e7417bad4cd4fcd326707b565d0b90fe5d6506f571ecd09dc3c1dc9b3010f3cf,4.03,77,121
e97c3a6c680cd3569df10f901a61fdffaf8f70300f6adf6e266b80c87d54245a,4.0200000000000005,58,87
f1cde4b382fdfdeeece7ada642b273e7fd2be686b61292b535d9706578f4ed55,4.0,65,110
a170018f87191e4da4d86141e0383154b73e7f66dcb663f17be19bca0aaf56b3,3.98,63,93
863f0e03da282ae32a76775ce55d8a4605a85c84a26066e1ad0e9469e8c40e68,3.95,42,84
e751ffdb47e5b810549c4cde8e7ef90c932df9cad21f920e5d3959d72cf0928e,3.9400000000000004,81,117
bceebaf3d6fdd36bb1064dc72695704d8a7943d1244a4447d4aa2907b21bb8ba,3.94,78,120
36b2a4343c41ee8048c7172531b073c38a1746e842245873c9d42590df93c22c,3.93,57,93
3ddfac7ceb0d24b35f2550bdab3aa74fc5d4de1e2318c3214cf8fd82a20c0a01,3.93,60,100
3d29ebf14ee5ae002979cceb28cde368da00e9ed9526e95f3f741d682422d333,3.92,65,104
b9b1bb9511960ddbe86a6fba7177c9a593354010d67082fc191ef0e0ade3a07b,3.92,56,85
69b1f68ce09b72cc1d14355797a29e420e20bfe8c510e3a376975d670606cca6,3.91,53,90
71986b564f1a81551a73d67e8b63df9d82a68bf1ebad24ae588e9794c8a39391,3.91,73,106
79dbc807e08c8d5c120d42c9e2a02486eab1d1b620ae5e7e06b4059739f362d5,3.91,85,118
98e84b886df3b9bc08933ec14d4795e61671b6a038bfaec382e98e1e9a67de78,3.91,85,115
fc17f04209372eb9feace41de48530e032486491880b6a14f03a92de4ee6ae8b,3.91,65,98
0788a3e6350618693b2a362d164b5859715a303d533ab4ee8b428155c6656406,3.9000000000000004,54,110
de34370ddc633d06e5e1fc916b44e9141a87853cf06dbcc1ed33d5afb04a4f7c,3.9,77,116
f9c4d37e3682234c0122e40fc39181eb2110a335b38ab230b5fa36108e290adc,3.9,77,113
a0759626b9f2c0833d058d68eb33c0ae0a82c6bd24b098f093f8f375e4ecf582,3.88,75,113
796c039fc704b14be5e008d41c0f4d273c46579f53511a59a8d5f79ed821301e,3.8600000000000003,72,106
678a749aacb1a5b3faedaf5bc8bc23720cbf618d2ab8d32b9536d9203e1b27e6,3.8400000000000003,66,103
